UNITID,xgrcohrt,grcohrt,xugenter,ugentern,xpgrcohr,pgrcohrt,XRET_PCF,RET_PCF,XRET_PCP,RET_PCP
100654,R,1287,R,1534,R,83,R,75,R,57
100663,R,1619,R,1708,R,94,R,75,R,54
100690,R,2,R,2,R,100,B,,B,
100706,R,774,R,1727,R,44,R,76,R,100
100724,R,1187,R,1436,R,82,R,54,R,48
100751,R,3052,R,4381,R,69,R,84,R,71
100760,R,429,R,1325,R,32,R,61,R,31
100830,R,434,R,1315,R,33,B,,B,
100858,R,3684,R,5081,R,72,R,84,B,
100919,R,114,R,555,R,20,R,68,R,34
100937,R,356,R,356,R,100,R,82,B,
100973,R,105,R,124,R,84,R,59,R,61
101028,R,252,R,958,R,26,B,,B,
101073,R,170,R,242,R,70,R,50,R,25
101107,R,83,R,172,R,48,B,,B,
101116,R,45,R,153,R,29,B,,B,
101143,R,373,R,460,R,81,R,48,R,7
101161,R,696,R,1433,R,48,B,,B,
101189,R,230,R,909,R,25,Z,0,Z,0
101231,R,300,R,300,R,100,R,80,C,
101240,R,1111,R,1708,R,65,R,55,R,39
101286,R,730,R,1582,R,46,R,49,R,32
101295,R,755,R,1620,R,46,R,63,R,41
101301,R,320,R,756,R,42,R,55,R,30
101365,R,39,R,105,R,37,B,,B,
101435,R,201,R,234,R,85,R,76,C,
101453,R,2,R,27,R,7,B,,B,
101462,R,150,R,215,R,69,R,52,R,44
101471,R,216,R,308,R,70,B,,B,
101480,R,1044,R,1078,R,96,R,67,R,30
101499,R,350,R,598,R,58,R,50,R,44
101505,R,791,R,2806,R,28,R,48,R,36
101514,R,1024,R,2754,R,37,R,67,R,52
101523,R,151,R,349,R,43,R,44,R,36
101541,R,81,R,81,R,100,R,65,R,46
101569,R,599,R,954,R,62,R,53,R,47
101587,R,317,R,531,R,59,B,,B,
101602,R,299,R,486,R,61,R,55,R,17
101648,R,90,R,90,R,100,R,42,B,
101675,R,347,R,477,R,72,R,70,R,86
101693,R,206,R,378,R,54,B,,B,
101709,R,526,R,823,R,63,R,76,R,75
101736,R,725,R,1610,R,45,B,,B,
101879,R,789,R,803,R,98,R,69,B,
101897,R,431,R,895,R,48,R,42,R,16
101912,R,411,R,488,R,84,R,70,R,50
101949,R,356,R,511,R,69,B,,B,
101958,R,3,R,9,R,33,R,50,C,
101994,R,155,R,366,R,42,R,61,R,48
102030,R,727,R,2150,R,33,B,,B,
102049,R,682,R,799,R,85,R,89,C,
102067,R,1302,R,2191,R,59,R,58,R,33
102076,R,431,R,809,R,53,R,61,R,38
102094,R,1275,R,2469,R,51,B,,B,
102216,R,42,R,48,R,87,B,,B,
102234,R,308,R,394,R,78,R,81,B,
102261,R,44,R,105,R,41,R,35,R,40
102270,R,288,R,297,R,96,B,,B,
102298,R,145,R,182,R,79,R,57,R,100
102313,R,118,R,233,R,50,R,42,R,41
102322,R,53,R,606,R,8,R,66,R,27
102359,R,132,R,898,R,14,R,55,R,50
102368,R,1015,R,3286,R,30,R,65,R,36
102377,R,523,R,570,R,91,R,70,R,67
102429,R,758,R,4118,R,18,R,64,R,65
102553,R,1093,R,5020,R,21,B,,B,
102614,R,792,R,3047,R,25,B,,B,
102632,R,107,R,1363,R,7,B,,B,
102669,R,24,R,167,R,14,R,83,C,
102711,R,203,R,263,R,77,R,79,R,90
102845,R,25,R,83,R,30,R,58,R,64
103361,R,16,R,196,R,8,B,,B,
103440,R,32,R,64,R,50,R,64,B,
103501,R,153,R,153,R,100,B,,B,
103644,R,17,R,49,R,34,B,,B,
103723,R,603,R,603,R,100,B,,B,
103732,R,69,R,97,R,71,B,,B,
103741,R,166,R,240,R,69,B,,B,
103787,R,15,R,15,R,100,B,,B,
103811,R,321,R,321,R,100,B,,B,
103893,R,1063,R,1063,R,100,B,,B,
103945,R,43,R,119,R,36,R,70,B,
103954,R,43,R,70,R,61,C,,C,
103963,R,555,R,555,R,100,B,,B,
104090,R,470,R,563,R,83,B,,B,
104151,R,6906,R,11551,R,59,R,77,B,
104160,R,285,R,843,R,33,R,63,R,37
104179,R,5780,R,7803,R,74,R,77,R,59
104188,R,273,R,295,R,92,R,71,R,71
104294,R,88,R,169,R,52,B,,B,
104346,R,544,R,1930,R,28,R,53,R,34
104364,R,130,R,253,R,51,R,83,C,
104391,R,71,R,71,R,100,B,,B,
104425,R,543,R,1072,R,50,B,,B,
104434,R,50,R,50,R,100,B,,B,
104443,R,142,R,142,R,100,B,,B,
104504,R,17,R,71,R,23,B,,B,
104522,R,14,R,51,R,27,R,84,R,100
104531,R,299,R,693,R,43,B,,B,
104568,R,56,R,108,R,51,B,,B,
104577,R,448,R,679,R,65,B,,B,
104586,R,303,R,418,R,72,B,,B,
104708,R,493,R,7273,R,6,B,,B,
104717,R,227,R,494,R,45,B,,B,
104805,R,588,R,588,R,100,B,,B,
104911,R,109,R,170,R,64,R,69,R,31
104984,R,265,R,265,R,100,B,,B,
105118,R,72,R,88,R,81,B,,B,
105127,R,42,R,54,R,77,R,86,B,
105145,R,222,R,2870,R,7,B,,B,
105154,R,822,R,9331,R,8,B,,B,
105163,R,89,R,95,R,93,B,,B,
105172,R,94,R,102,R,92,B,,B,
105206,R,32,R,3335,R,0,B,,B,
105215,R,432,R,432,R,100,B,,B,
105242,R,54,R,54,R,100,B,,B,
105297,R,236,R,370,R,63,R,58,R,35
105330,R,2117,R,3618,R,58,R,69,R,50
105349,R,97,R,1482,R,6,B,,B,
105419,R,143,R,183,R,78,B,,B,
105428,R,578,R,4805,R,12,B,,B,
105482,R,416,R,422,R,98,R,87,B,
105516,R,20,R,842,R,2,R,0,R,0
105525,R,2217,R,7175,R,30,B,,B,
105534,R,253,R,253,R,100,B,,B,
105543,R,201,R,201,R,100,B,,B,
105589,R,30,R,229,R,13,B,,B,
105659,R,188,R,497,R,37,R,87,R,77
105668,R,39,R,4970,R,0,B,,B,
105677,R,22,R,39,R,56,R,97,C,
105701,R,43,R,47,R,91,R,73,B,
105747,R,381,R,4585,R,8,B,,B,
105792,R,241,R,1962,R,12,B,,B,
105880,R,50,R,50,R,100,R,97,B,
105899,R,28,R,50,R,56,B,,B,
105987,R,311,R,311,R,100,B,,R,84
106041,R,1208,R,1208,R,100,B,,B,
106050,R,24,R,26,R,92,R,88,B,
106102,R,15,R,174,R,8,R,65,R,0
106111,R,135,R,149,R,90,B,,B,
106148,R,338,R,2616,R,12,B,,B,
106245,R,691,R,1757,R,39,R,64,R,49
106281,R,29,R,38,R,76,B,,B,
106306,R,140,R,215,R,65,B,,B,
106315,R,26,R,43,R,60,B,,B,
106342,R,120,R,152,R,78,B,,B,
106351,R,11,R,12,R,91,B,,B,
106360,R,62,R,62,R,100,R,75,B,
106397,R,2309,R,3619,R,63,B,,B,
106412,R,733,R,902,R,81,R,64,R,50
106449,R,698,R,3632,R,19,R,64,R,35
106458,R,1433,R,2423,R,59,R,70,R,42
106467,R,1450,R,1857,R,78,R,66,R,57
106485,R,679,R,1021,R,66,R,54,R,57
106494,R,124,R,218,R,56,B,,B,
106546,R,237,R,378,R,62,B,,B,
106607,R,31,R,33,R,93,B,,B,
106625,R,340,R,609,R,55,R,59,R,50
106704,R,2414,R,3416,R,70,R,70,R,57
106713,R,102,R,104,R,98,B,,B,
106759,R,22,R,22,R,100,B,,B,
106795,R,88,R,391,R,22,B,,B,
106810,R,69,R,76,R,90,B,,B,
106829,R,99,R,278,R,35,B,,B,
106838,R,25,R,25,R,100,R,63,C,
106883,R,229,R,282,R,81,B,,B,
