UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRET_PCF,RET_PCF,XRET_PCP,RET_PCP 
100654,"R",1198,"R",1530,"R",78,"R",64,"R",45
100663,"R",1543,"R",2984,"R",52,"R",77,"R",44
100690,"R",13,"R",13,"R",100,"R",0,"R",0
100706,"R",653,"R",1783,"R",37,"R",76,"R",38
100724,"R",1139,"R",1439,"R",79,"R",56,"R",24
100751,"R",3345,"R",4729,"R",71,"R",83,"R",56
100760,"R",377,"R",554,"R",68,"R",97,"R",44
100830,"R",445,"R",1206,"R",37,"R",61,"R",45
100858,"R",3564,"R",5013,"R",71,"R",85,"R",50
100919,"R",109,"R",540,"R",20,"R",60,"R",29
100937,"R",367,"R",367,"R",100,"R",87,"A",
100973,"R",86,"R",123,"R",70,"R",59,"R",50
101028,"R",307,"R",734,"R",42,"R",62,"R",55
101073,"R",247,"R",255,"R",97,"R",30,"R",15
101116,"R",34,"R",121,"R",28,"R",63,"R",0
101143,"R",341,"R",641,"R",53,"R",60,"R",24
101161,"R",779,"R",1380,"R",56,"R",59,"R",36
101189,"R",185,"R",665,"R",28,"R",63,"R",46
101231,"R",202,"R",202,"R",100,"R",82,"R",100
101240,"R",1082,"R",1571,"R",69,"R",42,"R",7
101286,"R",746,"R",1307,"R",57,"R",55,"R",38
101295,"R",661,"R",1652,"R",40,"R",56,"R",43
101301,"R",307,"R",672,"R",46,"R",51,"R",50
101365,"R",41,"R",107,"R",38,"R",60,"R",52
101435,"R",192,"R",248,"R",77,"R",66,"A",
101453,"R",3,"R",25,"R",12,"R",50,"R",0
101462,"R",144,"R",197,"R",73,"R",52,"R",29
101471,"R",231,"R",622,"R",37,"R",77,"R",33
101480,"R",1017,"R",1768,"R",58,"R",65,"R",26
101499,"R",310,"R",545,"R",57,"R",48,"R",24
101505,"R",810,"R",2638,"R",31,"R",53,"R",39
101514,"R",930,"R",2688,"R",35,"R",57,"R",44
101541,"R",69,"R",86,"R",80,"R",56,"A",
101569,"R",544,"R",759,"R",72,"R",55,"R",47
101587,"R",260,"R",264,"R",98,"R",69,"R",75
101602,"R",446,"R",539,"R",83,"R",55,"R",16
101648,"R",123,"R",158,"R",78,"R",29,"A",
101675,"R",432,"R",439,"R",98,"R",80,"R",60
101693,"R",245,"R",255,"R",96,"R",65,"R",54
101709,"R",488,"R",498,"R",98,"R",74,"R",40
101736,"R",712,"R",1847,"R",39,"R",56,"R",26
101879,"R",877,"R",1433,"R",61,"R",68,"R",31
101897,"R",225,"R",659,"R",34,"R",23,"R",16
101912,"R",432,"R",519,"R",83,"R",69,"Z",0
101949,"R",384,"R",587,"R",65,"R",45,"R",38
101958,"R",5,"R",15,"R",33,"R",50,"Z",0
101994,"R",86,"R",258,"R",33,"R",65,"R",52
102030,"R",540,"R",1624,"R",33,"R",44,"R",37
102049,"R",667,"R",817,"R",82,"R",84,"R",0
102067,"R",1402,"R",2054,"R",68,"R",57,"R",34
102076,"R",434,"R",773,"R",56,"R",64,"R",41
102094,"R",1213,"R",2701,"R",45,"R",72,"R",50
102216,"R",25,"R",30,"R",83,"R",59,"R",25
102234,"R",309,"R",421,"R",73,"R",79,"R",0
102261,"R",28,"R",82,"R",34,"R",67,"R",75
102270,"R",344,"R",363,"R",95,"R",64,"R",66
102298,"R",88,"R",109,"R",81,"R",46,"R",16
102313,"R",240,"R",372,"R",65,"R",52,"R",34
102322,"R",61,"R",559,"R",11,"R",62,"R",42
102359,"R",156,"R",321,"R",49,"R",51,"R",48
102368,"R",1228,"R",4349,"R",28,"R",72,"R",54
102377,"R",697,"R",776,"R",90,"R",67,"R",60
102429,"R",683,"R",3937,"R",17,"R",65,"R",43
102553,"R",1153,"R",5247,"R",22,"R",70,"R",53
102614,"R",790,"R",2824,"R",28,"R",70,"R",38
102632,"R",139,"R",1320,"R",11,"R",60,"R",42
102669,"R",49,"R",220,"R",22,"R",62,"R",0
102711,"R",214,"R",384,"R",56,"R",93,"R",100
102845,"R",28,"R",121,"R",23,"R",69,"R",64
103361,"R",19,"R",210,"R",9,"R",44,"R",40
103440,"R",39,"R",64,"R",61,"R",56,"R",0
103501,"R",262,"R",262,"R",100,"R",84,"A",
103644,"R",20,"R",45,"R",44,"R",59,"R",71
103723,"R",945,"R",1004,"R",94,"R",57,"A",
103732,"R",62,"R",80,"R",78,"R",96,"A",
103741,"R",131,"R",205,"R",64,"R",88,"A",
103787,"R",9,"R",9,"R",100,"R",72,"R",100
103811,"R",322,"R",322,"R",100,"R",76,"A",
103893,"R",2985,"R",2985,"R",100,"R",78,"A",
103945,"R",55,"R",55,"R",100,"R",79,"A",
103954,"R",51,"R",71,"R",72,"R",80,"A",
103963,"R",329,"R",799,"R",41,"R",65,"A",
104090,"R",368,"R",368,"R",100,"R",88,"A",
104151,"R",6917,"R",11369,"R",61,"R",77,"Z",0
104160,"R",677,"R",1955,"R",35,"R",64,"R",43
104179,"R",5566,"R",7653,"R",73,"R",79,"R",48
104188,"R",77,"R",148,"R",52,"R",75,"R",75
104294,"R",27,"R",50,"R",54,"R",73,"A",
104346,"R",762,"R",1935,"R",39,"R",57,"R",30
104364,"R",142,"R",188,"R",76,"R",47,"A",
104391,"R",59,"R",66,"R",89,"R",48,"A",
104425,"R",543,"R",1193,"R",46,"R",56,"R",37
104434,"R",44,"R",47,"R",94,"R",90,"A",
104443,"R",157,"R",191,"R",82,"R",95,"A",
104504,"R",26,"R",161,"R",16,"R",89,"R",91
104522,"R",37,"R",48,"R",77,"R",82,"R",79
104531,"R",175,"R",298,"R",59,"R",47,"R",31
104568,"R",151,"R",185,"R",82,"R",81,"R",95
104577,"R",484,"R",812,"R",60,"R",46,"R",46
104586,"R",369,"R",498,"R",74,"R",77,"R",100
104708,"R",456,"R",7128,"R",6,"R",60,"R",40
104717,"R",230,"R",639,"R",36,"R",55,"A",
104805,"R",410,"R",410,"R",100,"R",83,"R",0
104911,"R",34,"R",45,"R",76,"R",81,"R",95
104984,"R",45,"R",193,"R",23,"R",43,"A",
105118,"R",193,"R",358,"R",54,"R",75,"A",
105127,"R",15,"R",41,"R",37,"R",93,"A",
105145,"R",217,"R",2847,"R",8,"R",50,"R",25
105154,"R",786,"R",9592,"R",8,"R",58,"R",33
105163,"R",70,"R",86,"R",81,"R",57,"R",34
105172,"R",97,"R",104,"R",93,"R",66,"R",52
105206,"R",139,"R",3457,"R",4,"R",67,"R",18
105215,"R",527,"R",527,"R",100,"R",81,"A",
105242,"R",253,"R",253,"R",100,"R",74,"A",
105297,"R",189,"R",281,"R",67,"R",58,"R",23
105330,"R",2278,"R",4150,"R",55,"R",70,"R",54
105349,"R",121,"R",1764,"R",7,"R",42,"R",21
105419,"R",164,"R",197,"R",83,"R",88,"A",
105428,"R",486,"R",4480,"R",11,"R",59,"R",39
105482,"R",87,"R",87,"R",100,"R",74,"A",
105516,"R",284,"R",284,"R",100,"R",55,"A",
105525,"R",2481,"R",5890,"R",42,"R",65,"R",35
105534,"R",294,"R",305,"R",96,"R",85,"A",
105543,"R",175,"R",194,"R",90,"R",83,"A",
105589,"R",41,"R",804,"R",5,"R",57,"R",0
105659,"R",158,"R",482,"R",33,"R",86,"R",69
105668,"R",44,"R",5654,"R",1,"R",72,"R",21
105677,"R",33,"R",35,"R",94,"R",100,"A",
105701,"R",32,"R",32,"R",100,"R",78,"A",
105747,"R",408,"R",4702,"R",9,"R",57,"R",35
105792,"R",166,"R",1820,"R",9,"R",56,"R",31
105880,"R",108,"R",108,"R",100,"R",74,"A",
105899,"R",58,"R",98,"R",59,"R",64,"Z",0
105987,"R",104,"R",321,"R",32,"R",78,"A",
106041,"R",1050,"R",1050,"R",100,"R",82,"A",
106050,"R",24,"R",180,"R",13,"R",56,"R",45
106102,"R",16,"R",723,"R",2,"R",60,"A",
106111,"R",140,"R",159,"R",88,"R",83,"A",
106148,"R",309,"R",2071,"R",15,"R",53,"R",27
106245,"R",761,"R",5023,"R",15,"R",64,"R",50
106281,"R",9,"R",21,"R",43,"R",76,"R",33
106306,"R",47,"R",75,"R",63,"R",50,"R",86
106315,"R",15,"R",36,"R",42,"R",57,"R",100
106342,"R",141,"R",202,"R",70,"R",66,"Z",0
106351,"R",20,"R",59,"R",34,"R",90,"R",23
106360,"R",46,"R",46,"R",100,"R",65,"A",
106397,"R",2457,"R",3748,"R",66,"R",84,"Z",0
106412,"R",694,"R",856,"R",81,"R",62,"R",31
106449,"R",734,"R",939,"R",78,"R",54,"R",32
106458,"R",1303,"R",2264,"R",58,"R",68,"R",37
106467,"R",1403,"R",1806,"R",78,"R",69,"R",46
106485,"R",630,"R",934,"R",67,"R",50,"R",36
106494,"R",43,"Z",0,"Z",0,"R",85,"R",0
106546,"R",166,"R",471,"R",35,"R",93,"R",99
106607,"R",11,"R",26,"R",42,"R",94,"A",
106625,"R",327,"R",519,"R",63,"R",59,"R",45
106704,"R",2216,"R",2786,"R",80,"R",70,"R",14
106713,"R",82,"R",156,"R",53,"R",67,"R",56
106759,"R",18,"R",18,"R",100,"R",100,"A",
106795,"R",76,"R",336,"R",23,"R",51,"R",58
106810,"R",68,"R",70,"R",97,"R",50,"R",33
106829,"R",185,"R",361,"R",51,"R",74,"R",25
106838,"R",9,"R",9,"R",100,"R",25,"A",
106883,"R",255,"R",412,"R",62,"R",44,"R",25
106892,"R",490,"R",490,"R",100,"R",43,"A",
106908,"R",4,"R",11,"R",36,"R",89,"A",
106980,"R",409,"R",1026,"R",40,"R",68,"R",57
106999,"R",159,"R",268,"R",59,"R",65,"R",39
