UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRET_PCF,RET_PCF,XRET_PCP,RET_PCP 
100654,"R",1133,"R",1334,"R",85,"R",70,"R",46
100663,"R",1487,"R",2576,"R",58,"R",75,"R",30
100690,"R",1,"R",1,"R",100,"R",67,"A",
100706,"R",805,"R",1862,"R",43,"R",77,"R",59
100724,"R",1297,"R",1517,"R",85,"R",56,"R",67
100751,"R",4359,"R",5864,"R",74,"R",85,"R",52
100760,"R",442,"R",867,"R",51,"R",39,"R",18
100830,"R",526,"R",1286,"R",41,"R",63,"R",49
100858,"R",4069,"R",5395,"R",75,"R",87,"A",
100937,"R",292,"R",326,"R",90,"R",74,"A",
101028,"R",249,"R",973,"R",26,"R",48,"R",33
101073,"R",278,"R",292,"R",95,"R",37,"R",5
101116,"R",53,"R",181,"R",29,"R",60,"R",29
101143,"R",254,"R",934,"R",27,"R",58,"R",23
101161,"R",809,"R",1414,"R",57,"R",63,"R",36
101189,"R",210,"R",816,"R",26,"R",54,"R",47
101240,"R",947,"R",1458,"R",65,"R",52,"R",35
101286,"R",666,"R",1192,"R",56,"R",52,"R",38
101295,"R",757,"R",1756,"R",43,"R",64,"R",35
101301,"R",333,"R",673,"R",49,"R",47,"R",38
101365,"R",67,"R",91,"R",74,"R",44,"R",44
101435,"R",213,"R",251,"R",85,"R",68,"A",
101453,"R",2,"R",24,"R",8,"R",50,"R",60
101462,"R",130,"R",299,"R",43,"R",45,"R",29
101471,"R",265,"R",356,"R",74,"R",40,"R",39
101480,"R",1106,"R",1864,"R",59,"R",68,"R",45
101499,"R",267,"R",454,"R",59,"R",44,"R",29
101505,"R",864,"R",3025,"R",29,"R",55,"R",40
101514,"R",1028,"R",2701,"R",38,"R",58,"R",41
101541,"R",67,"R",85,"R",79,"R",54,"A",
101569,"R",557,"R",1164,"R",48,"R",66,"R",43
101587,"R",350,"R",542,"R",65,"R",62,"R",100
101602,"R",304,"R",530,"R",57,"R",60,"R",44
101648,"R",221,"R",226,"R",98,"R",71,"A",
101675,"R",353,"R",771,"R",46,"R",59,"R",75
101693,"R",218,"R",420,"R",52,"R",68,"R",75
101709,"R",470,"R",706,"R",67,"R",70,"R",50
101736,"R",699,"R",1162,"R",60,"R",54,"R",40
101879,"R",999,"R",2063,"R",48,"R",68,"R",62
101897,"R",430,"R",834,"R",52,"R",54,"R",41
101912,"R",390,"R",493,"R",79,"R",69,"R",25
101949,"R",331,"R",545,"R",61,"R",45,"R",38
101958,"R",7,"R",13,"R",54,"R",60,"A",
101994,"R",92,"R",226,"R",41,"R",58,"R",55
102030,"R",502,"R",1432,"R",35,"R",50,"R",37
102049,"R",644,"R",752,"R",86,"R",83,"A",
102067,"R",1058,"R",2206,"R",48,"R",54,"R",28
102076,"R",377,"R",809,"R",47,"R",64,"R",46
102094,"R",1355,"R",2825,"R",48,"R",72,"R",48
102216,"R",16,"R",35,"R",46,"R",69,"R",59
102234,"R",345,"R",406,"R",85,"R",82,"A",
102261,"R",15,"R",58,"R",26,"R",64,"R",25
102270,"R",282,"R",287,"R",98,"R",62,"R",33
102298,"R",154,"R",180,"R",86,"R",86,"R",86
102313,"R",219,"R",555,"R",39,"R",40,"R",32
102368,"R",1666,"R",5241,"R",32,"R",69,"R",39
102377,"R",688,"R",697,"R",99,"R",68,"R",70
102429,"R",644,"R",1352,"R",48,"R",61,"R",47
102553,"R",1351,"R",2368,"R",57,"R",69,"R",54
102614,"R",750,"R",1020,"R",74,"R",74,"R",38
102632,"R",139,"R",705,"R",20,"R",55,"R",40
102669,"R",57,"R",149,"R",38,"R",69,"R",25
102711,"A",,"A",,"A",,"R",86,"R",96
102845,"R",14,"R",88,"R",16,"R",40,"R",42
103361,"R",19,"R",146,"R",13,"R",57,"R",56
103440,"R",19,"R",41,"R",46,"R",57,"A",
103501,"A",,"A",,"A",,"R",88,"A",
103644,"R",312,"R",527,"R",59,"R",97,"R",85
103723,"R",258,"R",273,"R",95,"R",76,"R",0
103732,"A",,"A",,"A",,"R",80,"A",
103741,"A",,"A",,"A",,"R",82,"A",
103787,"R",10,"R",17,"R",59,"R",17,"R",0
103893,"A",,"A",,"A",,"R",77,"A",
103945,"A",,"A",,"A",,"R",100,"A",
103954,"A",,"A",,"A",,"R",58,"A",
103963,"R",323,"R",323,"R",100,"R",51,"A",
104090,"R",315,"R",315,"R",100,"R",83,"A",
104151,"R",7076,"R",11913,"R",59,"R",79,"A",
104160,"R",586,"R",1343,"R",44,"R",56,"R",37
104179,"R",5788,"R",7971,"R",73,"R",79,"R",45
104188,"R",36,"R",77,"R",47,"R",77,"R",77
104294,"A",,"A",,"A",,"R",66,"A",
104346,"R",427,"R",1808,"R",24,"R",48,"R",29
104364,"R",115,"R",151,"R",76,"R",61,"A",
104391,"A",,"A",,"A",,"R",79,"A",
104425,"R",457,"R",1379,"R",33,"R",56,"R",35
104434,"A",,"A",,"A",,"R",74,"A",
104443,"A",,"A",,"A",,"R",73,"A",
104504,"A",,"A",,"A",,"R",15,"R",12
104522,"A",,"A",,"A",,"R",99,"R",50
104531,"R",224,"R",423,"R",53,"R",49,"R",33
104568,"A",,"A",,"A",,"R",64,"R",59
104577,"R",584,"R",770,"R",76,"R",52,"R",56
104586,"R",403,"R",487,"R",83,"R",73,"R",0
104708,"R",491,"R",6504,"R",8,"R",63,"R",39
104717,"R",177,"R",956,"R",19,"R",61,"R",56
104805,"A",,"A",,"A",,"R",54,"A",
104911,"A",,"A",,"A",,"R",63,"A",
104984,"R",316,"R",316,"R",100,"R",60,"A",
105118,"A",,"A",,"A",,"R",65,"A",
105127,"A",,"A",,"A",,"R",87,"R",94
105145,"R",161,"R",2458,"R",7,"R",42,"R",28
105154,"R",743,"R",8944,"R",8,"R",58,"R",32
105163,"R",57,"R",69,"R",83,"R",62,"R",29
105172,"R",110,"R",117,"R",94,"R",60,"R",38
105206,"R",264,"R",2489,"R",11,"R",52,"R",32
105215,"A",,"A",,"A",,"R",78,"A",
105242,"A",,"A",,"A",,"P",83,"A",
105297,"R",250,"R",461,"R",54,"R",48,"R",29
105330,"R",2607,"R",4567,"R",57,"R",72,"R",53
105349,"R",126,"R",1315,"R",10,"R",49,"R",29
105419,"A",,"A",,"A",,"R",76,"A",
105428,"R",351,"R",4397,"R",8,"R",55,"R",33
105482,"A",,"A",,"A",,"R",90,"Z",0
105516,"R",126,"R",472,"R",27,"R",24,"A",
105525,"R",2329,"R",8915,"R",26,"R",66,"R",36
105534,"A",,"A",,"A",,"R",88,"A",
105543,"A",,"A",,"A",,"R",82,"A",
105589,"R",56,"R",250,"R",22,"R",85,"A",
105659,"A",,"A",,"A",,"R",68,"R",63
105668,"R",33,"R",6046,"R",1,"R",55,"R",19
105701,"A",,"A",,"A",,"R",59,"A",
105747,"R",286,"R",4333,"R",7,"R",58,"R",33
105792,"R",158,"R",1670,"R",9,"R",58,"R",28
105880,"A",,"A",,"A",,"R",40,"A",
105899,"R",55,"R",117,"R",47,"R",53,"A",
106041,"A",,"A",,"A",,"R",77,"A",
106102,"R",5939,"R",5939,"R",100,"R",49,"A",
106111,"A",,"A",,"A",,"R",75,"A",
106148,"R",316,"R",3119,"R",10,"R",50,"R",31
106245,"R",605,"R",1868,"R",32,"R",60,"R",41
106281,"A",,"A",,"A",,"R",71,"A",
106306,"R",42,"R",349,"R",12,"R",87,"R",94
106315,"A",,"A",,"A",,"R",82,"Z",0
106324,"A",,"A",,"A",,"R",82,"A",
106342,"R",128,"R",188,"R",68,"R",70,"A",
106351,"A",,"A",,"A",,"R",75,"R",100
106360,"A",,"A",,"A",,"R",68,"A",
106397,"R",2726,"R",4034,"R",68,"R",83,"R",63
106412,"R",691,"R",886,"R",78,"R",54,"R",20
106449,"R",742,"R",1786,"R",42,"R",39,"R",60
106458,"R",1663,"R",2499,"R",67,"R",72,"R",34
106467,"R",1435,"R",1881,"R",76,"R",69,"R",73
106485,"R",633,"R",825,"R",77,"R",48,"R",34
106494,"A",,"A",,"A",,"R",57,"A",
106546,"A",,"A",,"A",,"R",78,"A",
106607,"A",,"A",,"A",,"R",100,"A",
106625,"R",355,"R",527,"R",67,"R",60,"R",50
106704,"R",2352,"R",3076,"R",76,"R",71,"R",19
106713,"R",97,"R",98,"R",99,"R",60,"A",
106759,"A",,"A",,"A",,"R",100,"A",
106795,"R",80,"R",375,"R",21,"R",64,"R",47
106810,"R",59,"R",69,"R",86,"R",53,"A",
106829,"R",63,"R",74,"R",85,"R",36,"R",73
106838,"A",,"A",,"A",,"A",,"A",
106883,"R",248,"R",332,"R",75,"R",53,"R",23
106908,"A",,"A",,"A",,"R",100,"A",
106980,"R",254,"R",619,"R",41,"R",52,"R",26
106999,"R",162,"R",339,"R",48,"R",49,"R",62
107044,"R",903,"R",1092,"R",83,"R",81,"R",75
107071,"R",481,"R",900,"R",53,"R",57,"R",41
107080,"R",396,"R",409,"R",97,"R",87,"A",
107099,"A",,"A",,"A",,"R",81,"A",
107123,"A",,"A",,"A",,"R",50,"A",
107141,"R",326,"R",624,"R",52,"R",80,"A",
107211,"A",,"A",,"A",,"R",61,"A",
107220,"A",,"A",,"A",,"R",76,"A",
107275,"A",,"A",,"A",,"R",82,"A",
107293,"A",,"A",,"A",,"R",100,"A",
107318,"R",143,"R",370,"R",39,"R",54,"R",35
107327,"R",268,"R",450,"R",60,"R",49,"R",19
107363,"A",,"A",,"A",,"R",72,"A",
107442,"A",,"A",,"A",,"R",75,"A",
107460,"R",340,"R",551,"R",62,"R",53,"R",44
107488,"R",92,"R",278,"R",33,"R",48,"R",33
107512,"R",367,"R",438,"R",84,"R",80,"A",
107521,"R",153,"R",301,"R",51,"R",60,"R",68
107549,"R",148,"R",916,"R",16,"R",45,"R",55
107558,"R",165,"R",234,"R",71,"R",65,"A",
107585,"R",418,"R",690,"R",61,"R",40,"R",34
107600,"R",76,"R",103,"R",74,"R",62,"R",52
107619,"R",86,"R",311,"R",28,"R",52,"R",47
107637,"R",174,"R",343,"R",51,"R",48,"R",42
107655,"A",,"A",,"A",,"R",86,"R",71
107664,"R",832,"R",2580,"R",32,"R",55,"R",42
107725,"R",196,"R",355,"R",55,"R",60,"R",32
107743,"R",132,"R",215,"R",61,"R",42,"R",39
107789,"A",,"A",,"A",,"R",67,"R",83
107831,"A",,"A",,"A",,"R",63,"A",
107877,"R",128,"R",200,"R",64,"R",59,"A",
107974,"R",73,"R",177,"R",41,"R",49,"R",30
107983,"R",588,"R",810,"R",73,"R",62,"R",25
107992,"R",141,"R",351,"R",40,"R",35,"R",43
108065,"A",,"A",,"A",,"R",80,"R",95
108092,"R",1059,"R",1551,"R",68,"R",65,"R",50
108232,"R",680,"R",2057,"R",33,"R",67,"R",43
108250,"R",113,"R",120,"R",94,"R",66,"R",35
108287,"A",,"A",,"A",,"R",62,"A",
108348,"A",,"A",,"A",,"R",11,"A",
108649,"A",,"A",,"A",,"R",82,"A",
