UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP 
100654,"R",882,"R",885,"R",100,"R",1133,"R",0,"R",1133,"R",777,"R",69,"R",5,"R",0,"R",5,"R",0,"R",0
100663,"R",1392,"R",2485,"R",56,"R",1487,"Z",0,"R",1487,"R",1119,"R",75,"R",44,"Z",0,"R",44,"R",21,"R",48
100690,"R",3,"R",3,"R",100,"R",1,"R",0,"R",1,"R",1,"R",100,"R",0,"R",0,"R",0,"R",0,"A",
100706,"R",759,"R",1763,"R",43,"R",805,"R",0,"R",805,"R",617,"R",77,"R",33,"R",0,"R",33,"R",19,"R",58
100724,"R",1351,"R",1535,"R",88,"R",1297,"R",1,"R",1296,"R",712,"R",55,"R",48,"Z",0,"R",48,"R",33,"R",69
100751,"R",4493,"R",5921,"R",76,"R",4359,"R",42,"R",4317,"R",3747,"R",87,"R",19,"R",0,"R",19,"R",11,"R",58
100760,"R",444,"R",720,"R",62,"R",442,"Z",0,"R",442,"R",277,"R",63,"R",82,"Z",0,"R",82,"R",29,"R",35
100830,"R",531,"R",1211,"R",44,"R",526,"R",0,"R",526,"R",284,"R",54,"R",107,"Z",0,"R",107,"R",68,"R",64
100858,"R",4160,"R",5511,"R",75,"R",4094,"Z",0,"R",4094,"R",3523,"R",86,"Z",0,"Z",0,"R",0,"Z",0,"A",
100937,"R",450,"R",506,"R",89,"R",292,"R",0,"R",292,"R",234,"R",80,"R",0,"R",0,"R",0,"R",0,"A",
101028,"R",256,"R",1017,"R",25,"R",249,"Z",0,"R",249,"R",52,"R",21,"R",83,"Z",0,"R",83,"R",40,"R",48
101073,"R",158,"R",212,"R",75,"R",278,"R",0,"R",278,"R",70,"R",25,"R",14,"R",0,"R",14,"R",1,"R",7
101116,"R",55,"R",239,"R",23,"R",14,"R",0,"R",14,"R",7,"R",50,"R",2,"R",0,"R",2,"R",1,"R",50
101143,"R",427,"R",932,"R",46,"R",254,"R",0,"R",254,"R",146,"R",57,"R",59,"R",0,"R",59,"R",20,"R",34
101161,"R",880,"R",1587,"R",55,"R",809,"R",0,"R",809,"R",510,"R",63,"R",161,"Z",0,"R",161,"R",63,"R",39
101189,"R",298,"R",604,"R",49,"R",210,"R",0,"R",210,"R",117,"R",56,"R",39,"R",0,"R",39,"R",16,"R",41
101240,"R",1168,"R",1744,"R",67,"R",947,"R",0,"R",947,"R",530,"R",56,"R",215,"R",0,"R",215,"R",67,"R",31
101286,"R",706,"R",1238,"R",57,"R",666,"R",0,"R",666,"R",381,"R",57,"R",146,"R",0,"R",146,"R",52,"R",36
101295,"R",934,"R",1753,"R",53,"R",757,"R",0,"R",757,"R",477,"R",63,"R",146,"R",0,"R",146,"R",60,"R",41
101301,"R",360,"R",541,"R",67,"R",333,"R",0,"R",333,"R",164,"R",49,"R",56,"R",0,"R",56,"R",20,"R",36
101365,"R",43,"R",71,"R",61,"R",33,"R",1,"R",32,"R",16,"R",50,"R",11,"R",1,"R",10,"R",2,"R",20
101435,"R",254,"R",353,"R",72,"R",213,"R",0,"R",213,"R",170,"R",80,"R",0,"R",0,"R",0,"R",0,"A",
101453,"R",1,"R",13,"R",8,"R",2,"Z",0,"R",2,"R",1,"R",50,"R",2,"Z",0,"R",2,"R",2,"R",100
101462,"R",134,"R",379,"R",35,"R",130,"Z",0,"R",130,"R",128,"R",98,"R",60,"Z",0,"R",60,"R",58,"R",97
101471,"R",261,"R",368,"R",71,"R",265,"R",0,"R",265,"R",34,"R",13,"R",44,"R",0,"R",44,"R",43,"R",98
101480,"R",1252,"R",1982,"R",63,"R",1106,"Z",0,"R",1106,"R",766,"R",69,"R",38,"Z",0,"R",38,"R",20,"R",53
101499,"R",304,"R",526,"R",58,"R",267,"R",0,"R",267,"R",99,"R",37,"R",36,"R",0,"R",36,"R",12,"R",33
101505,"R",919,"R",3801,"R",24,"R",864,"R",0,"R",864,"R",446,"R",52,"R",405,"R",0,"R",405,"R",157,"R",39
101514,"R",1191,"R",3063,"R",39,"R",1028,"R",2,"R",1026,"R",627,"R",61,"R",480,"Z",0,"R",480,"R",224,"R",47
101541,"R",79,"R",101,"R",78,"R",67,"R",0,"R",67,"R",40,"R",60,"R",0,"R",0,"R",0,"R",0,"A",
101569,"R",632,"R",1256,"R",50,"R",557,"R",3,"R",554,"R",404,"R",73,"R",143,"R",1,"R",142,"R",92,"R",65
101587,"R",347,"R",592,"R",59,"R",350,"R",42,"R",308,"R",219,"R",71,"R",4,"R",0,"R",4,"R",4,"R",100
101602,"R",383,"R",664,"R",58,"R",304,"R",0,"R",304,"R",163,"R",54,"R",56,"R",0,"R",56,"R",23,"R",41
101648,"R",233,"R",280,"R",83,"R",221,"R",0,"R",221,"R",174,"R",79,"Z",0,"Z",0,"R",0,"Z",0,"A",
101675,"R",415,"R",423,"R",98,"R",353,"R",0,"R",353,"R",240,"R",68,"R",9,"R",0,"R",9,"R",8,"R",89
101693,"R",208,"R",328,"R",63,"R",218,"Z",0,"R",218,"R",134,"R",61,"R",9,"Z",0,"R",9,"R",4,"R",44
101709,"R",482,"R",491,"R",98,"R",470,"R",0,"R",470,"R",351,"R",75,"R",9,"Z",0,"R",9,"R",5,"R",56
101736,"R",636,"R",1368,"R",46,"R",699,"R",1,"R",698,"R",398,"R",57,"R",188,"R",0,"R",188,"R",66,"R",35
101879,"R",934,"R",1568,"R",60,"R",999,"Z",0,"R",999,"R",645,"R",65,"R",20,"Z",0,"R",20,"R",2,"R",10
101897,"R",491,"R",793,"R",62,"R",430,"Z",0,"R",430,"R",260,"R",60,"R",49,"Z",0,"R",49,"R",20,"R",41
101912,"R",451,"R",562,"R",80,"R",390,"R",0,"R",390,"R",270,"R",69,"R",4,"R",0,"R",4,"R",1,"R",25
101949,"R",338,"R",548,"R",62,"R",338,"R",0,"R",338,"R",105,"R",31,"R",67,"R",0,"R",67,"R",46,"R",69
101958,"R",2,"R",8,"R",25,"R",7,"R",0,"R",7,"R",5,"R",71,"R",0,"R",0,"R",0,"R",0,"A",
101994,"R",115,"R",303,"R",38,"R",92,"R",0,"R",92,"R",46,"R",50,"R",23,"R",0,"R",23,"R",6,"R",26
102030,"R",335,"R",1013,"R",33,"R",502,"R",0,"R",502,"R",176,"R",35,"R",88,"R",0,"R",88,"R",24,"R",27
102049,"R",713,"R",845,"R",84,"R",644,"R",0,"R",644,"R",541,"R",84,"R",4,"R",0,"R",4,"R",2,"R",50
102067,"R",892,"R",1768,"R",50,"R",1281,"Z",0,"R",1281,"R",720,"R",56,"R",445,"Z",0,"R",445,"R",101,"R",23
102076,"R",478,"R",853,"R",56,"R",377,"Z",0,"R",377,"R",241,"R",64,"R",88,"Z",0,"R",88,"R",35,"R",40
102094,"R",1457,"R",3144,"R",46,"R",1355,"R",0,"R",1355,"R",955,"R",70,"R",78,"R",0,"R",78,"R",44,"R",56
102234,"R",379,"R",438,"R",87,"R",345,"R",0,"R",345,"R",276,"R",80,"R",4,"R",0,"R",4,"R",2,"R",50
102261,"R",31,"R",82,"R",38,"R",12,"Z",0,"R",12,"R",8,"R",67,"R",13,"Z",0,"R",13,"R",6,"R",46
102270,"R",345,"R",475,"R",73,"R",282,"Z",0,"R",282,"R",155,"R",55,"R",2,"Z",0,"R",2,"R",2,"R",100
102298,"R",125,"R",143,"R",87,"R",154,"R",0,"R",154,"R",87,"R",56,"R",12,"R",0,"R",12,"R",11,"R",92
102313,"R",269,"R",587,"R",46,"R",219,"R",0,"R",219,"R",81,"R",37,"R",139,"R",0,"R",139,"R",45,"R",32
102368,"R",1763,"R",5372,"R",33,"R",1666,"R",0,"R",1666,"R",1129,"R",68,"R",972,"R",0,"R",972,"R",394,"R",41
102377,"R",793,"R",2514,"R",32,"R",688,"R",0,"R",688,"R",489,"R",71,"R",9,"R",0,"R",9,"R",5,"R",56
102429,"R",742,"R",1498,"R",50,"R",644,"R",0,"R",644,"R",386,"R",60,"R",173,"R",0,"R",173,"R",73,"R",42
