"ID","Year","Retention","Type"
100654,2004,64,"FT"
100663,2004,77,"FT"
100706,2004,76,"FT"
100724,2004,56,"FT"
100751,2004,83,"FT"
100760,2004,97,"FT"
100830,2004,61,"FT"
101028,2004,62,"FT"
101143,2004,60,"FT"
101161,2004,59,"FT"
101189,2004,63,"FT"
101240,2004,42,"FT"
101286,2004,55,"FT"
101295,2004,56,"FT"
101301,2004,51,"FT"
101462,2004,52,"FT"
101471,2004,77,"FT"
101480,2004,65,"FT"
101505,2004,53,"FT"
101514,2004,57,"FT"
101569,2004,55,"FT"
101587,2004,69,"FT"
101602,2004,55,"FT"
101709,2004,74,"FT"
101736,2004,56,"FT"
101879,2004,68,"FT"
101897,2004,23,"FT"
101994,2004,65,"FT"
102030,2004,44,"FT"
102067,2004,57,"FT"
102076,2004,64,"FT"
102094,2004,72,"FT"
102313,2004,52,"FT"
102368,2004,72,"FT"
102429,2004,65,"FT"
102553,2004,70,"FT"
102614,2004,70,"FT"
102632,2004,60,"FT"
102669,2004,62,"FT"
102711,2004,93,"FT"
104160,2004,64,"FT"
104179,2004,79,"FT"
104346,2004,57,"FT"
104568,2004,81,"FT"
105206,2004,67,"FT"
105330,2004,70,"FT"
105525,2004,65,"FT"
106245,2004,64,"FT"
106412,2004,62,"FT"
106449,2004,54,"FT"
106458,2004,68,"FT"
106467,2004,69,"FT"
106485,2004,50,"FT"
106625,2004,59,"FT"
106704,2004,70,"FT"
106795,2004,51,"FT"
106883,2004,44,"FT"
106980,2004,68,"FT"
106999,2004,65,"FT"
107071,2004,62,"FT"
107318,2004,45,"FT"
107327,2004,50,"FT"
107460,2004,76,"FT"
107521,2004,54,"FT"
107549,2004,77,"FT"
107585,2004,50,"FT"
107619,2004,50,"FT"
107637,2004,47,"FT"
107664,2004,64,"FT"
107725,2004,47,"FT"
107743,2004,31,"FT"
107974,2004,62,"FT"
107983,2004,63,"FT"
107992,2004,56,"FT"
108092,2004,61,"FT"
108232,2004,61,"FT"
108667,2004,67,"FT"
108807,2004,70,"FT"
109208,2004,64,"FT"
109785,2004,83,"FT"
109907,2004,57,"FT"
110060,2004,50,"FT"
110246,2004,70,"FT"
110334,2004,66,"FT"
110361,2004,76,"FT"
110422,2004,90,"FT"
110486,2004,76,"FT"
110495,2004,80,"FT"
110510,2004,80,"FT"
110529,2004,80,"FT"
110538,2004,82,"FT"
110547,2004,69,"FT"
110556,2004,84,"FT"
110565,2004,81,"FT"
110574,2004,82,"FT"
110583,2004,86,"FT"
110592,2004,75,"FT"
110608,2004,76,"FT"
110617,2004,81,"FT"
110635,2004,96,"FT"
110644,2004,91,"FT"
110653,2004,93,"FT"
110662,2004,96,"FT"
110671,2004,85,"FT"
110680,2004,93,"FT"
110705,2004,91,"FT"
110714,2004,88,"FT"
111434,2004,68,"FT"
111461,2004,68,"FT"
111513,2004,68,"FT"
111887,2004,64,"FT"
111896,2004,59,"FT"
111920,2004,75,"FT"
111939,2004,71,"FT"
111948,2004,88,"FT"
112172,2004,66,"FT"
112190,2004,73,"FT"
112367,2004,86,"FT"
112385,2004,59,"FT"
112561,2004,64,"FT"
112686,2004,49,"FT"
