"ID","2004_FT","2004_PT","2005_FT","2005_PT","2006_FT","2006_PT","2007_FT","2007_PT","2008_FT","2008_PT","2009_FT","2009_PT","2010_FT","2010_PT","2011_FT","2011_PT","2012_FT","2012_PT","2013_FT","2013_PT","2014_FT","2014_PT","2015_FT","2015_PT","2016_FT","2016_PT","2017_FT","2017_PT","2018_FT","2018_PT","2019_FT","2019_PT","2020_FT","2020_PT","2021_FT","2021_PT","2022_FT","2022_PT","2023_FT","2023_PT","2024_FT","2024_PT"
100654,64,45,69,85,70,46,69,0,68,33,69,50,75,50,64,10,68,58,63,50,66,33,58,31,58,31,59,13,61,100,57,67,54,33,58,40,59,25,64,40,70,21
100663,77,44,77,43,75,30,75,48,80,42,82,57,80,70,79,62,80,61,80,50,83,58,79,61,82,43,84,44,82,46,83,59,86,48,84,60,82,54,82,47,80,47
100706,76,38,75,41,77,59,77,58,77,44,76,45,75,54,79,50,79,52,81,44,77,62,80,40,83,55,82,38,83,9,83,14,82,25,79,18,80,31,81,28,84,43
100724,56,24,68,42,56,67,55,69,54,40,53,27,64,42,54,18,62,50,62,30,57,28,60,63,63,38,59,35,59,13,61,54,62,5,64,22,60,20,60,80,70,21
100751,83,56,86,64,85,52,87,58,84,60,83,49,85,65,86,50,85,63,87,66,87,60,86,47,86,40,87,56,88,64,87,48,87,57,89,54,87,60,86,50,89,50
100760,97,44,35,29,39,18,63,35,60,21,32,48,60,34,61,36,51,37,43,42,49,51,52,54,62,35,63,40,55,34,59,39,59,38,64,25,62,35,59,44,60,31
100830,61,45,57,45,63,49,54,64,61,42,58,41,54,42,50,38,59,40,63,45,65,37,65,47,67,48,68,46,67,60,66,37,70,33,63,24,70,23,66,27,68,60
101028,62,55,48,36,48,33,21,48,54,16,67,5,57,15,46,21,49,35,52,33,53,30,54,21,51,38,55,38,54,23,50,27,55,36,60,26,61,21,55,22,52,27
101143,60,24,54,32,58,23,57,34,57,37,65,32,60,35,58,44,52,44,54,45,50,36,56,37,55,23,50,35,55,34,62,44,60,36,66,38,63,46,62,39,63,40
101161,59,36,56,36,63,36,63,39,55,33,65,48,47,66,54,32,53,34,52,40,60,35,57,35,50,39,60,37,56,33,56,30,54,29,63,45,62,42,61,39,62,44
