"ID","Year","Retention","Type"
100654,2014,66,"FT"
100663,2014,83,"FT"
100706,2014,77,"FT"
100724,2014,57,"FT"
100751,2014,87,"FT"
100760,2014,49,"FT"
100830,2014,65,"FT"
100858,2014,91,"FT"
101028,2014,53,"FT"
101143,2014,50,"FT"
101161,2014,60,"FT"
101189,2014,60,"FT"
101240,2014,53,"FT"
101286,2014,56,"FT"
101295,2014,63,"FT"
101301,2014,61,"FT"
101462,2014,39,"FT"
101471,2014,65,"FT"
101480,2014,72,"FT"
101505,2014,56,"FT"
101514,2014,58,"FT"
101569,2014,50,"FT"
101587,2014,65,"FT"
101602,2014,60,"FT"
101709,2014,79,"FT"
101736,2014,59,"FT"
101879,2014,72,"FT"
101897,2014,61,"FT"
101994,2014,57,"FT"
102030,2014,41,"FT"
102067,2014,60,"FT"
102076,2014,62,"FT"
102094,2014,71,"FT"
102313,2014,55,"FT"
102368,2014,75,"FT"
102429,2014,61,"FT"
102553,2014,72,"FT"
102614,2014,78,"FT"
102632,2014,72,"FT"
102669,2014,77,"FT"
102711,2014,100,"FT"
103741,2014,68,"FT"
104151,2014,86,"FT"
104160,2014,60,"FT"
104179,2014,82,"FT"
104346,2014,48,"FT"
104443,2014,67,"FT"
104568,2014,70,"FT"
104717,2014,62,"FT"
105206,2014,50,"FT"
105330,2014,74,"FT"
105525,2014,58,"FT"
106245,2014,71,"FT"
106397,2014,83,"FT"
106412,2014,62,"FT"
106449,2014,56,"FT"
106458,2014,75,"FT"
106467,2014,67,"FT"
106485,2014,47,"FT"
106625,2014,54,"FT"
106704,2014,70,"FT"
106795,2014,63,"FT"
106883,2014,46,"FT"
106980,2014,56,"FT"
106999,2014,60,"FT"
107071,2014,60,"FT"
107318,2014,49,"FT"
107327,2014,57,"FT"
107460,2014,50,"FT"
107521,2014,55,"FT"
107549,2014,46,"FT"
107585,2014,49,"FT"
107619,2014,56,"FT"
107637,2014,50,"FT"
107664,2014,57,"FT"
107725,2014,54,"FT"
107743,2014,44,"FT"
107974,2014,50,"FT"
107983,2014,63,"FT"
107992,2014,60,"FT"
108065,2014,25,"FT"
108092,2014,66,"FT"
108232,2014,76,"FT"
108667,2014,64,"FT"
108807,2014,75,"FT"
108977,2014,60,"FT"
109208,2014,70,"FT"
109785,2014,85,"FT"
109907,2014,42,"FT"
110060,2014,82,"FT"
110246,2014,70,"FT"
110334,2014,70,"FT"
110361,2014,83,"FT"
110422,2014,93,"FT"
110486,2014,73,"FT"
110495,2014,85,"FT"
110510,2014,88,"FT"
110529,2014,89,"FT"
110538,2014,87,"FT"
110547,2014,80,"FT"
110556,2014,83,"FT"
110565,2014,89,"FT"
110574,2014,81,"FT"
110583,2014,90,"FT"
110592,2014,84,"FT"
110608,2014,77,"FT"
110617,2014,83,"FT"
110635,2014,96,"FT"
110644,2014,93,"FT"
110653,2014,92,"FT"
110662,2014,97,"FT"
110671,2014,90,"FT"
110680,2014,95,"FT"
110705,2014,92,"FT"
110714,2014,89,"FT"
111434,2014,64,"FT"
111461,2014,76,"FT"
111513,2014,94,"FT"
111887,2014,63,"FT"
111896,2014,52,"FT"
111920,2014,76,"FT"
111939,2014,72,"FT"
111948,2014,91,"FT"
112172,2014,68,"FT"
112190,2014,70,"FT"
112367,2014,35,"FT"
112385,2014,56,"FT"
112394,2014,86,"FT"
112561,2014,57,"FT"
112686,2014,62,"FT"
112826,2014,63,"FT"
113096,2014,73,"FT"
113193,2014,66,"FT"
113218,2014,72,"FT"
113333,2014,81,"FT"
113573,2014,74,"FT"
113634,2014,79,"FT"
113856,2014,73,"FT"
113980,2014,76,"FT"
114266,2014,72,"FT"
114460,2014,78,"FT"
114859,2014,72,"FT"
114938,2014,71,"FT"
115001,2014,72,"FT"
115126,2014,71,"FT"
115296,2014,68,"FT"
115393,2014,75,"FT"
115658,2014,100,"FT"
115755,2014,74,"FT"
115861,2014,66,"FT"
116439,2014,79,"FT"
117052,2014,66,"FT"
117195,2014,60,"FT"
117247,2014,56,"FT"
117274,2014,49,"FT"
117645,2014,73,"FT"
117690,2014,74,"FT"
117706,2014,75,"FT"
117715,2014,58,"FT"
117724,2014,60,"FT"
117788,2014,63,"FT"
117894,2014,77,"FT"
118347,2014,65,"FT"
118684,2014,58,"FT"
118718,2014,73,"FT"
118772,2014,50,"FT"
118930,2014,69,"FT"
119067,2014,70,"FT"
119164,2014,80,"FT"
119216,2014,68,"FT"
119331,2014,75,"FT"
119605,2014,60,"FT"
120290,2014,77,"FT"
120342,2014,76,"FT"
120421,2014,73,"FT"
120953,2014,53,"FT"
120971,2014,71,"FT"
